cue,stim,ITI,category,correctresp,response,RT,correct,cuecolor,stimcolor
K,B,2000,YY,x,,0,0,2,3
D,L,2000,YY,x,,0,0,3,1
H,Q,1500,YY,x,,0,0,1,2
H,N,2500,YY,x,,0,0,3,3
I,J,1500,YY,x,,0,0,1,2
E,Y,1500,YY,x,,0,0,2,3
J,U,2000,YY,x,,0,0,1,1
D,V,2000,YY,x,,0,0,1,1
W,J,2000,YY,x,,0,0,1,2
D,P,2000,YY,x,,0,0,1,1
Y,V,2000,YY,x,,0,0,1,3
K,Y,2000,YY,x,,0,0,1,2
C,R,2000,YY,x,,0,0,1,2
J,F,2000,YY,x,,0,0,1,3
S,Q,2500,YY,x,,0,0,2,3
U,C,2500,YY,x,,0,0,3,3
O,K,2000,YY,x,,0,0,3,1
R,R,2500,YY,x,,0,0,1,2
W,Y,1500,YY,x,,0,0,2,3
C,U,1500,YY,x,,0,0,2,1
I,M,1500,YY,x,,0,0,2,1
C,T,1500,YY,x,,0,0,1,1
F,L,1500,YY,x,,0,0,1,2
S,Z,1500,YY,x,,0,0,2,3
S,Z,1500,YY,x,,0,0,1,3
W,V,2000,YY,x,,0,0,1,1
O,K,1500,YY,x,,0,0,3,1
C,L,1500,YY,x,,0,0,2,3
Y,G,2000,YY,x,,0,0,3,3
U,T,2500,YY,x,,0,0,3,2
